年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,785,-0.1272,-5.3076,-11.7977,-13.5463,16.515,-1.1335,-8.721,-8.721,-4.4991,-0.4103,-5.9142,-11.6813,-22.8244,0.0107,-0.1333,-5.659,-11.5243,-23.435
2023/07/19,3,786,0.5115,-2.963,-11.1864,-15.3929,17.0005,-1.0075,-8.6047,-8.6047,-4.3775,1.1585,-3.8732,-10.2711,-23.9275,0.5156,1.1441,-4.1377,-10.2421,-25.1452
2023/07/18,2,782,1.9557,-5.0971,-11.8376,-15.7328,15.57,-1.5113,-9.0698,-9.0698,-4.8641,2.5694,-7.0438,-11.4848,-24.2928,-1.4699,2.5397,-7.4496,-11.3745,-25.3178
2023/07/17,1,767,-3.4005,-6.3492,-13.5288,-18.143,12.7064,-3.4005,-10.8141,-10.8141,-6.689,-3.6931,-10.4415,-13.7912,-26.7295,-6.4242,-3.6166,-11.1794,-13.6503,-27.5914
2023/07/14,5,794,-4.222,-4.222,-8.9449,-14.8069,18.706,-4.222,-7.6745,-7.6745,-3.4042,-5.525,-7.9395,-9.2093,-23.3085,-0.9993,-5.5803,-8.7343,-8.8731,-24.1536
2023/07/13,4,829,2.3457,-1.7773,-5.04,-10.3783,33.846,0,-3.6047,-3.6047,0.8538,1.7599,-3.5624,-4.1385,-18.3291,14.7414,1.5191,-4.3917,-3.6068,-19.1629
2023/07/12,3,810,-1.699,-4.5937,-6.2499,-14.5569,33.7124,-2.2919,-5.814,-5.814,-1.4577,-2.0725,-4.0402,-6.2892,-21.0155,12.1265,-2.2232,-4.2194,-6.0068,-21.3628
2023/07/11,2,824,0.6105,-2.8303,-1.9047,-11.2069,39.1454,-0.6032,-4.1862,-4.1862,0.2455,-0.8674,-1.4193,-1.9788,-17.3965,21.3054,-1.212,-1.3944,-1.9032,-17.2404
2023/07/10,1,819,-1.2063,-4.5455,-2.4999,-11.9355,37.8491,-1.2063,-4.7676,-4.7676,-0.3628,-1.1378,-2.0204,-1.1166,-16.8272,22.7208,-1.1185,-1.7769,-0.7086,-16.1291
2023/07/07,5,829,-1.7773,-3.6047,-6.2217,-9.2004,43.2781,-3.6047,-3.6047,-3.6047,0.8538,-1.1929,-2.119,-4.6956,-14.4269,27.0402,-1.295,-1.8029,-4.2885,-13.5572
2023/07/06,4,844,-0.5889,-0.939,-2.0881,-7.7595,48.1072,-1.8605,-1.8605,-1.8605,2.6787,1.1363,0.1241,-2.0912,-13.7768,28.2536,1.5211,0.5539,-1.6979,-12.6598
2023/07/05,3,849,0.1179,0,-3.3029,-7.5163,44.3134,-1.2791,-1.2791,-1.2791,3.287,0.6099,-0.7134,-5.3491,-15.0053,25.4469,0.6649,-0.5053,-5.5302,-14.0134
2023/07/04,2,848,-1.1655,-3.3067,-3.9637,-7.6252,42.964,-1.3954,-1.3954,-1.3954,3.1653,-1.4966,-4.8041,-6.5607,-15.6456,22.3995,-1.6112,-4.6745,-6.5339,-14.7081
2023/07/03,1,858,-0.2326,-3.7037,-2.8312,-6.5359,44.8869,-0.2326,-0.2326,-0.2326,4.3819,-1.2297,-3.8501,-5.0896,-14.1998,25.7762,-1.1382,-3.748,-4.9462,-13.1436
2023/06/30,5,860,0.939,-3.3707,-11.0651,-7.2276,32.6154,-3.3707,-1.2628,-6.318,4.6253,1.0969,-1.7032,-12.8265,-13.9538,18.52,1.1081,-1.5591,-12.3157,-12.9111
2023/06/29,4,852,0.3534,-4.2696,-6.2706,-7.4918,25.1968,-4.2696,-2.1814,-7.1895,3.652,0.314,-2.7576,-8.1099,-14.9269,14.0282,0.4778,-2.6243,-7.6548,-14.0045
2023/06/28,3,849,-3.1927,-4.6067,-7.3144,-7.5163,18.662,-4.6067,-2.5258,-7.5163,3.287,-3.4753,-3.0559,-9.9231,-15.3762,8.9751,-3.4992,-3.0839,-9.518,-14.7199
2023/06/27,2,877,-1.5713,-1.4607,-4.2577,-4.2577,18.0891,-1.4607,0.6889,-4.4662,6.6934,-0.5669,0.2676,-6.5772,-10.9383,9.4717,-0.7055,0.4046,-6.1489,-10.2404
2023/06/26,1,891,0.1124,0.678,-2.7293,-0.5581,25.2118,0.1124,2.2962,-2.9411,8.3966,0.9446,1.9245,-6.0869,-7.7496,13.7381,1.0787,2.3462,-5.5104,-6.5598
2023/06/21,3,890,0,2.0643,-4.1982,-3.0501,22.5631,0.3382,2.1814,-3.0501,8.2749,-0.1018,2.2716,-10.5504,-13.9368,13.1936,0.0423,2.8995,-10.9974,-13.355
2023/06/20,2,890,0.565,1.9474,-4.1982,0.2252,23.8882,0.3382,2.1814,-3.0501,8.2749,1.084,2.1315,-10.4422,-11.2202,12.0629,1.2317,2.763,-11.0426,-10.8135
2023/06/19,1,885,-0.2255,2.4307,-4.7364,9.5297,21.8746,-0.2255,1.6073,-3.5948,7.6666,-0.1425,0.5482,-11.5347,-2.258,11.4327,-0.0756,0.5397,-12.298,-1.5774
2023/06/16,5,887,3.7427,5.5953,-0.5606,13.4271,18.1995,5.5953,1.8369,-3.3769,7.9099,4.0085,3.2118,-10.8644,-0.1575,9.0431,4.1607,2.768,-12.0597,0.2116
2023/06/15,4,855,-1.9495,2.8881,-4.3625,8.091,9.5422,1.7858,-1.837,-6.8628,4.0169,-2.5113,-0.7051,-16.3814,-4.5643,1.1938,-2.3919,-1.4063,-17.8665,-4.5539
2023/06/14,3,872,-0.1145,-1.3575,-2.8954,11.7948,13.7001,3.8096,0.1147,-5.011,6.085,-0.2396,-3.2228,-14.0922,-0.4292,6.2801,-0.092,-3.923,-15.7962,-0.5787
2023/06/13,2,873,1.0417,1.276,-2.7841,10.9274,11.9876,3.9286,0.2295,-4.9021,6.2066,-0.499,-1.4382,-13.842,0.2848,4.8594,-1.0022,-2.4242,-15.7103,0.1066
2023/06/12,1,864,2.8571,-1.5946,-3.7864,7.5964,9.4698,2.8571,-0.8038,-5.8825,5.1117,2.4487,-3.0362,-13.1592,-1.6082,6.4613,2.0894,-3.6876,-14.4506,-1.4123
2023/06/09,5,840,1.083,-4.8698,-9.1893,3.3176,7.6204,-4.8698,-3.5592,-8.4968,2.1919,0.1704,-5.9443,-16.5566,-3.7569,6.026,0.0802,-5.9687,-17.0225,-3.1664
2023/06/08,4,831,-5.9955,-5.0286,-10.3561,1.7127,6.8661,-5.8891,-4.5925,-9.4772,1.097,-4.8799,-6.3673,-16.943,-4.0746,6.4874,-4.7728,-6.5284,-17.7309,-3.4345
2023/06/07,3,884,2.5522,1.4925,-5.4546,7.6753,15.4109,0.1132,1.4925,-3.7038,7.5449,1.5927,-0.5795,-13.751,0.9622,12.9307,1.4686,-0.5589,-14.7396,1.7141
2023/06/06,2,862,-1.8223,-10.8584,-7.8075,3.9872,15.4656,-2.3783,-1.0333,-6.1003,4.8685,-2.1049,-11.694,-15.0747,-2.3445,14.5283,-2.2846,-11.1578,-15.921,-1.4723
2023/06/05,1,878,-0.5663,-3.4104,-6.0963,7.9916,16.5478,-0.5663,0.8036,-4.3574,6.8149,-0.6113,-3.88,-13.0613,0.9061,15.5704,-0.3528,-3.2109,-13.7123,1.8937
2023/06/02,5,883,0.9143,-3.6027,-4.5406,6.1383,17.2116,-3.6027,1.3777,-3.8127,7.4233,-0.2621,-4.8256,-11.3862,-0.9656,16.2796,-0.4891,-4.2995,-12.3324,-0.074
2023/06/01,4,875,0.4592,-5.9141,-0.3418,2.5995,16.9029,-4.4761,0.4592,-4.6841,6.45,0.8592,-7.2684,-6.3335,-3.2608,17.8773,1.1451,-7.3944,-6.8941,-1.9008
2023/05/31,3,871,-9.9276,-2.4637,-0.7973,1.656,13.283,-4.9127,-0.7973,-5.1198,5.9634,-9.6642,-5.0606,-7.2147,-5.2786,14.6446,-9.2758,-5.9999,-8.0855,-4.8162
2023/05/30,2,967,6.3806,6.7328,10.1366,12.8603,27.7038,5.5676,10.1366,5.3377,17.6425,6.4621,4.0474,3.4382,5.6433,27.6311,6.418,2.9877,2.1445,5.6896
2023/05/29,1,909,-0.7642,-1.3031,3.5307,6.0911,25.8528,-0.7642,3.5307,-0.9804,10.5864,-1.5594,-4.1175,-3.2547,-1.2134,23.5779,-1.4469,-5.0635,-4.5018,-1.1198
2023/05/26,5,916,-1.5054,-1.3994,5.896,6.908,29.6093,-1.3994,4.328,-0.2178,11.438,-2.8131,-3.4404,-1.4564,0.4502,26.2516,-3.6978,-4.3048,-2.964,0.4242
