年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,109.5,-1.3514,-5.6035,14.4198,28.07,31.2638,-6.4103,4.2856,4.2856,50.8756,-1.6345,-6.2101,14.5362,18.7919,14.7595,-1.3575,-5.9549,14.6932,18.1813
2023/07/19,3,111,-3.0568,-4.3104,12.6902,25.9931,32.9104,-5.1283,5.7142,5.7142,52.9424,-2.4098,-5.2206,13.6055,17.4585,16.4255,-2.4242,-5.4851,13.6345,16.2408
2023/07/18,2,114.5,-0.4348,-2.1367,18.0411,30.1135,36.0169,-2.1368,9.0476,9.0476,57.765,0.1789,-4.0835,18.394,21.5535,18.9769,0.1492,-4.4893,18.5043,20.5285
2023/07/17,1,115,-1.7094,1.7699,18.5566,30.2376,37.0755,-1.7094,9.5238,9.5238,58.454,-2.002,-2.3223,18.2941,21.6512,17.9449,-1.9255,-3.0603,18.435,20.7893
2023/07/14,5,117,0.8621,2.6316,20.9926,32.054,35.9152,2.6316,11.4286,11.4286,61.2097,-0.4409,-1.0859,20.7283,23.5524,16.2099,-0.4962,-1.8807,21.0645,22.7072
2023/07/13,4,116,0,-2.9289,21.5932,32.2688,48.1796,1.7544,10.4762,10.4762,59.8318,-0.5858,-4.714,22.4946,24.318,29.075,-0.8266,-5.5433,23.0263,23.4842
2023/07/12,3,116,-0.8547,2.2026,21.7207,29.3233,45.1808,1.7544,10.4762,10.4762,59.8318,-1.2282,2.756,21.6814,22.8648,23.5948,-1.3789,2.5768,21.9638,22.5175
2023/07/11,2,117,3.5398,1.7391,22.6414,30.0246,43.6952,2.6315,11.4285,11.4285,61.2096,2.0619,3.1501,22.5673,23.8349,25.8552,1.7173,3.175,22.6428,23.9911
2023/07/10,1,113,-0.8772,-0.8772,18.4485,26.921,36.7064,-0.8772,7.619,7.619,55.6982,-0.8087,1.648,19.8319,22.0293,21.5781,-0.7894,1.8915,20.2398,22.7275
2023/07/07,5,114,-4.6025,8.5714,20.2531,28.1812,45.9795,8.5714,8.5714,8.5714,57.0761,-4.0181,10.0571,21.7792,22.9547,29.7415,-4.1202,10.3733,22.1863,23.8245
2023/07/06,4,119.5,5.2863,12.2065,24.0913,30.0535,65.3043,13.8095,13.8095,13.8095,64.6543,7.0115,13.2696,24.0882,24.0362,45.4507,7.3963,13.6993,24.4815,25.1532
2023/07/05,3,113.5,-1.3043,13.9558,15.3456,25.869,56.7983,8.0953,8.0953,8.0953,56.3872,-0.8123,13.2424,13.2993,18.38,37.9318,-0.7573,13.4505,13.1182,19.3719
