6404 通訊-KY -- 20180101-99999999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,21.8,2.3474,6.6014,-3.1112,-0.0005,20.4417,7.6542,-2.6786,-2.6786,15.3436,1.6205,4.8932,-3.5541,-5.4051,-4.1175,2.3413,6.25,-2.8378,-9.8892
2023/07/19,3,21.3,-1.1601,-3.8375,-6.7835,-0.9307,17.3551,5.1851,-4.9108,-4.9108,12.6981,-1.0212,-4.6154,-6.2789,-3.5604,-7.5878,-0.5275,-5.0122,-5.8391,-10.683
2023/07/18,2,21.55,0.7009,2.1327,-5.6894,-0.0005,15.5493,6.4197,-3.7947,-3.7947,14.0208,1.5803,1.5648,-5.4033,-2.8629,-9.3014,1.2849,-0.2199,-5.2262,-9.5855
2023/07/17,1,21.4,5.679,-2.2831,-6.3458,-4.8893,14.745,5.679,-4.4643,-4.4643,13.2272,5.3358,-4.2302,-6.9444,-8.1503,-13.3779,5.4629,-7.1133,-6.4673,-14.3376
2023/07/14,5,20.25,-0.978,-6.8965,-8.9887,-6.0328,8.2885,-6.8965,-9.5982,-9.5982,7.1426,-2.6408,-8.0506,-9.4318,-9.7541,-20.6434,-2.3363,-11.4088,-8.9169,-15.3796
2023/07/13,4,20.45,-7.6749,-6.8337,-8.0899,-6.6213,12.9831,-5.977,-8.7054,-8.7054,8.2008,-7.4805,-5.0712,-6.5902,-8.9822,-16.0646,-8.5015,-9.4481,-6.6567,-15.4059
2023/07/12,3,22.15,4.9763,-0.6727,-0.4495,-0.2257,34.242,1.8391,-1.1161,-1.1161,17.1954,5.3233,1.6161,-0.4538,-2.3172,3.4595,4.4521,-0.2984,-0.2064,-7.0315
2023/07/11,2,21.1,-3.653,-5.5928,-5.1686,-1.8609,25.5949,-2.9885,-5.8036,-5.8036,11.6399,-4.133,-3.718,-4.9839,-4.7353,-1.8958,-5.4755,-4.157,-5.1671,-7.8945
2023/07/10,1,21.9,0.6897,-3.5243,-1.573,5.288,32.727,0.6897,-2.2322,-2.2322,15.8727,1.127,-1.3884,-0.9116,2.2265,6.2884,0.7775,-0.7556,0.2183,1.0945
2023/07/07,5,21.75,-0.9112,-2.9018,-5.4348,1.1623,31.8178,-2.9018,-2.9018,-2.9018,15.079,0.3573,-1.9551,-5.2905,-2.969,2.7175,-0.4289,-1.1,-3.5016,-3.1944
2023/07/06,4,21.95,-1.5695,-1.7897,-3.7281,1.1516,33.03,-2.0089,-2.0089,-2.0089,16.1373,-0.8404,-2.7332,-6.1811,-4.7301,-0.8776,0.5405,-0.2969,-3.3379,-3.7486
2023/07/05,3,22.3,-0.2237,-1.5453,-1.3274,-3.044,35.1512,-0.4465,-0.4465,-0.4465,17.9891,-0.2989,-4.1196,-4.1577,-9.4727,4.4662,0.3233,-2.0506,-3.5547,-9.541
2023/07/04,2,22.35,-1.5419,-1.1063,-1.1062,-2.8266,35.4542,-0.2233,-0.2233,-0.2233,18.2536,-1.7546,-4.0279,-4.7683,-9.1753,3.1097,-1.9876,-2.4741,-3.6763,-9.9094
2023/07/03,1,22.7,1.3393,0.2207,0.4426,-1.3048,37.5755,1.3393,1.3393,1.3393,20.1056,0.5668,-1.9987,-2.9995,-7.4278,7.1529,0.4337,0.1764,-1.6725,-7.9125
2023/06/30,5,22.4,0.2237,-5.0848,-1.7544,3.4637,35.7573,-5.0848,-1.7544,-2.6092,18.5182,-0.3918,-5.6279,-5.8591,-2.094,12.0948,0.3928,-3.2732,-3.005,-2.2198
2023/06/29,4,22.35,-1.3245,-5.2967,-2.8261,1.5905,25.5615,-5.2967,-1.9737,-2.8265,18.2537,-2.1992,-5.2247,-5.8772,-4.2444,6.9648,-1.2001,-3.6513,-4.2103,-4.9222
2023/06/28,3,22.65,0.2212,-4.0255,-0.6579,6.0886,37.2724,-4.0255,-0.6579,-1.5222,19.841,-0.1929,-3.0871,-4.3762,1.4848,19.8543,-0.0853,-2.5027,-2.8614,-1.1151
2023/06/27,2,22.6,-0.2208,0.4444,-0.8772,5.6071,32.9409,-4.2373,-0.8771,-1.7395,19.5765,0.2503,2.1269,-4.1677,2.8859,18.1092,0.645,2.3097,-2.7684,-0.3756
2023/06/26,1,22.65,-4.0254,-0.8752,-0.6578,5.5941,33.2351,-4.0254,-0.6578,-1.5221,19.8411,-3.1454,0.5624,-4.4373,2.237,15.1823,-3.0591,0.793,-3.4389,-0.4076
2023/06/21,3,23.6,4.8889,6.0675,7.5172,11.3204,34.8569,3.2823,3.5088,2.6083,24.8675,5.229,6.363,1.2021,4.336,18.2991,4.9312,6.9027,0.7179,1.0155
2023/06/20,2,22.5,-1.5317,1.1237,2.5057,6.1317,28.9396,-1.5317,-1.3157,-2.1743,19.0474,-1.3085,1.3825,-4.1722,-1.4917,9.0219,-0.865,1.9392,-4.3387,-4.907
2023/06/19,1,22.85,0,2.6967,4.1003,13.1184,30.9453,0,0.2193,-0.6526,20.8992,-0.0804,1.4034,-2.8163,4.622,14.8219,0.1499,0.8057,-3.4613,2.0114
2023/06/16,5,22.85,-0.4357,2.6967,4.1002,11.4631,30.9453,2.6967,0.2193,-0.6526,20.8992,-0.2796,2.0265,-4.0468,1.2331,16.2942,-0.0177,-0.1306,-7.3989,-1.7524
2023/06/15,4,22.95,3.1461,0,6.0046,11.4074,31.5183,3.1461,0.6579,-0.2179,21.4283,2.8014,-2.0113,-3.4113,2.098,18.6651,2.7037,-4.2944,-7.4994,-1.2374
2023/06/14,3,22.25,0,-3.2609,4.9527,6.459,27.5068,0,-2.4123,-3.2614,17.7246,0.3035,-3.8235,-3.0226,-3.2561,15.3913,0.0225,-5.8264,-7.948,-5.9146
2023/06/13,2,22.25,0,-2.4123,4.9527,6.2049,27.5068,0,-2.4123,-3.2614,17.7246,-1.3295,-4.5919,-3.3513,-2.8958,15.3371,-2.0439,-6.1125,-7.9734,-4.616
2023/06/12,1,22.25,0,-1.5486,4.9527,4.9525,32.44,0,-2.4123,-3.2614,17.7246,0.5353,-2.021,-1.9303,-2.0188,24.6925,-0.7677,-3.6416,-5.7116,-4.0562
2023/06/09,5,22.25,-3.0501,-1.5486,0.225,4.2151,32.44,-1.5486,-2.4123,-3.2614,17.7246,-4.2242,-3.4554,-5.6015,-0.7376,23.8957,-4.0529,-2.6475,-7.6081,-2.2689
2023/06/08,4,22.95,-0.2174,5.5172,2.2269,8.5102,43.437,1.5487,0.6579,-0.2179,21.4282,0.863,4.1237,-0.9085,4.7755,35.2651,1.0053,4.0174,-5.1479,3.363
2023/06/07,3,23,0.8772,0.8772,6.4813,11.9217,43.7495,1.77,0.8772,-0.0005,21.6928,-0.4224,-1.9798,2.2145,6.7113,34.0668,-0.2064,-1.1743,-2.8037,5.9605
2023/06/06,2,22.8,0.885,0,5.5553,11.7643,42.4995,0.885,0,-0.8701,20.6346,1.2485,-1.9433,2.6262,7.7312,34.3093,0.4227,-0.2994,-2.5581,6.3048
2023/06/05,1,22.6,0,-1.7392,4.6294,5.607,39.5056,0,-0.8773,-1.7397,19.5763,-0.8847,-3.6423,1.3248,-0.1959,31.0064,0.2135,-1.5398,-2.9866,-0.4909
2023/06/02,5,22.6,3.908,-0.8773,1.8014,5.607,39.5056,-0.8773,-0.8773,-1.7397,19.5763,3.2435,-3.43,-0.9155,0.4387,31.9579,2.5046,-1.5741,-5.9904,-0.6053
2023/06/01,4,21.75,-4.6053,-6.25,-2.0274,0.23,28.6978,-4.6053,-4.6053,-5.4353,15.0791,-4.9526,-8.3417,-5.5579,-4.4712,22.2379,-3.9194,-7.7304,-8.5797,-4.2702
2023/05/31,3,22.8,0,4.8276,2.7024,5.0687,34.9108,0,2.7024,-0.87,20.6346,-0.3998,3.2424,-0.4698,0.1623,28.2483,0.6518,1.2914,-4.5858,-1.4035
2023/05/30,2,22.8,-0.8696,4.5872,2.7024,5.0687,38.1813,0,2.7024,-0.87,20.6346,-0.4668,3.7101,-0.0589,0.58,31.2251,-0.8322,0.8421,-5.2897,-2.102
2023/05/29,1,23,0.8772,4.0724,3.6033,5.9904,39.3935,0.8772,3.6033,-0.0004,21.6929,-0.6506,1.8526,0.4264,1.0791,29.7088,0.1945,0.312,-4.4292,-1.2204
2023/05/26,5,22.8,-1.7241,3.8725,4.8272,5.0688,37.7639,3.8725,2.7024,-0.87,20.6347,-1.9361,2.3306,1.0108,1.7362,27.7235,-3.9165,0.9671,-4.0328,-1.4151
2023/05/25,4,23.2,6.6667,7.9069,5.6943,6.912,40.1808,5.6947,4.5042,0.8691,22.751,6.8172,6.8501,2.0267,3.798,31.1403,5.3406,6.7929,-0.4512,2.7126
2023/05/24,3,21.75,-0.2294,-0.685,-0.2298,0.23,27.9406,-0.9112,-2.0274,-5.4353,15.079,0.0707,-2.2132,-1.4969,-3.0394,17.5449,0.222,-1.7807,-3.2844,-2.6057
2023/05/23,2,21.8,-1.3575,-0.6834,-0.0004,-2.6789,26.7437,-0.6834,-1.8021,-5.2178,15.3436,-2.2804,-3.7228,-2.377,-5.7934,18.522,-1.3349,-4.0132,-3.382,-4.9402
2023/05/22,1,22.1,0.6834,2.0785,1.3758,-1.3396,22.099,0.6834,-0.4507,-3.9135,16.931,-0.171,-1.0552,-0.0646,-5.3008,15.2033,0.8304,-2.6932,-2.0292,-5.0775
2023/05/19,5,21.95,2.093,3.5377,2.0926,-0.2277,16.1371,3.5377,-1.1264,-4.5657,16.1373,2.3596,2.2761,5.6154,-3.6338,9.8513,1.6795,-1.2924,-0.9168,-3.1547
2023/05/18,4,21.5,-1.8265,-2.0502,-0.2324,-2.2731,18.7841,1.415,-3.1534,-6.5221,13.7564,-2.1417,-4.1748,2.9478,-5.9557,12.5537,-3.1342,-6.0121,-2.0134,-4.7763
2023/05/17,3,21.9,-0.2278,-0.0001,-2.667,-0.4549,21.6663,3.3019,-1.3516,-4.783,15.8728,-1.4117,0.3473,1.2954,-3.8117,14.8242,-1.9763,-1.9993,-2.4228,-1.6349
